Minor	Lesser	Moderate	Greater	Major 	Item		Level
01-09					Glamorous Buckler		2
10-17					Sapling Shield (Minor)		3
18-24	01-07				Pillow Shield		4
25-31	08-14				Wovenwood Shield (Minor)		4
32-38	15-21				Sturdy Shield (Minor)		4
39-45	22-26				Exploding Shield		5
46-52	27-31				Helmsman's Recourse		5
53-59	32-36				Burr Shield		5
60-64	37-40				Broadleaf Shield		6
65-69	41-44				Sapling Shield (Lesser)		6
70-74	45-48				Lion's Shield		6
75-79	49-52				Spellguard Shield		6
80-82	53-55	01-03			Wovenwood Shield (Lesser)		7
83-85	56-58	04-06			Limestone Shield		7
86-88	59-61	07-09			Staff-Storing Shield		7
89-91	62-64	10-12			Spined Shield		7
92-94	65-67	13-15			Sturdy Shield (Lesser)		7
95-97	68-70	16-18			Helmsman's Recourse (Greater)		7
	71-72	19-21			Duelist's Beacon		8
	73-74	22-24			Turnabout Shield		9
	75-76	25-27			Warding Escutcheon		9
	77-78	28-30			Force Shield		9
	79-80	31-33			Sanguine Klar		9
	81-82	34-36			Dragonslayer's Shield		9
	83-84	37-39			Broadleaf Shield (Greater)		9
	85-86	40-42			Sapling Shield (Moderate)		9
	87-88	43-45			Highhelm War Shield (Lesser)		9
	89-89	46-47	01-04		Wovenwood Shield (Moderate)		10
	90-90	48-49	05-08		Forge Warden		10
	91-91	50-51	09-12		Amaranthine Pavise		10
	92-92	52-53	13-16		Hippotamus Klar		10
	93-93	54-55	17-20		Shining Shield		10
	94-94	56-57	21-24		Sturdy Shield (Moderate)		10
		58-59	25-27		Guardian Shield		11
		60-61	28-30		Evil-Reflecting Shield		11
		62-63	31-33		Floating Shield		11
		64-65	34-36		Kizidhar's Shield		11
		66-67	37-39		Clockwork Shield		11
		68-69	40-42		Staff-Storing Shield (Greater)		11
		70-71	43-45		Arrow-Catching Shield		11
		72-73	46-48		Lodestone Shield		11
		74-75	49-51		Helmsman's Recourse (Major)		11
		76-77	52-53		Jawbreaker Shield		12
		78-79	54-55		Arctic Worm Chitin Shield		12
		80-81	56-57		Sapling Shield (Greater)		12
		82-82	58-59		Rampart Shield		12
		83-83	60-61	01-06	Wovenwood Shield (Greater)		13
		84-84	62-63	07-12	Broadleaf Shield (Major)		13
		85-85	64-65	13-18	Medusa's Scream		13
		86-86	66-67	19-24	Sturdy Shield (Greater)		13
			68-69	25-29	Sanguine Klar (Greater)		14
			70-71	30-34	Highhelm War Shield (Moderate)		14
			72-73	35-37	Staff-Storing Shield (Major)		15
			74-74	38-40	Sapling Shield (Major)		15
			75-75	41-43	Reforging Shield		15
			76-76	44-46	Silkspinner's Shield		15
			77-77	47-48	Nethysian Bulwark		16
			78-78	49-50	Wovenwood Shield (Major)		16
			79-79	51-52	Floating Shield (Greater)		16
			80-80	53-54	Medusa's Scream (Greater)		16
			81-81	55-56	Sturdy Shield (Major)		16
				57-58	Broadleaf Shield (True)		17
				59-60	Cursebreak Bulwark		17
				61-62	Reflecting Shield		18
				63-64	Sapling Shield (True)		18
				65-66	Clockwork Shield (Greater)		18
				67-68	Indestructible Shield		18
				69-69	Starfall Shield		19
				70-70	Wovenwood Shield (True)		19
				71-71	Kraken's Guard		19
				72-72	Sturdy Shield (Supreme)		19
				73-73	Highhelm War Shield (Greater)		20
				74-74	Staff-Storing Shield (True)		20
				75-75	Warding Escutcheon (Greater)		20
				76-76	Shield of the Unified Legion		20
99-100	95-100	87-100	82-100	77-100	Roll twice again		
