Minor	Lesser	Moderate	Greater	Major	Item			Level
01-12	01-06				Draxie's Recipe Book			4
13-23	07-12				Tome of Restorative Cleansing (Lesser)			5
24-34	13-18				Corrosive Engravings			5
35-45	19-24				Instructions for Lasting Agony			5
46-51	25-28				Bestiary of Metamorphosis			6
52-57	29-32				Codex of Unimpeded Sight			6
58-63	33-36				Undertaker's Manifest			6
64-69	37-40				Endless Grimoire			6
70-75	41-44				Festrem Mortu			6
76-81	45-48				Storyteller's Opus			6
82-87	49-52				Architect's Pattern Book			6
88-93	53-56				Courtier's Pillow Book			6
94-97	57-59	01-06			Doctrine of Blissful Eternity			7
	60-62	07-12			Spellbook of Redundant Enchantment			8
	63-65	13-18			Book of Warding Prayers			8
	66-68	19-24			Tome of Scintillating Sleet			8
	69-71	25-30			Warding Tablets			8
	72-74	31-36			Harrow Spellcards			8
	75-77	37-42			Summoning Handscroll			8
	78-80	43-48			In the Shadows of Toil			8
	81-83	49-54			Tyrant's Writ			8
	84-85	55-58			Tome of Restorative Cleansing (Moderate)			9
	86-87	59-62			Linguist's Dictionary			9
	88-89	63-66			Hunter's Hagbook			9
	90-91	67-70			Juubun's One Thousand Poems			9
	92-92	71-73	01-10		Book of Lingering Blaze			10
	93-93	74-76	11-20		Endless Grimoire (Greater)			10
	94-94	77-79	21-30		Tome of Dripping Shadows			10
		80-81	31-39		Amazing Pop-Up Book			11
		82-83	40-45		Linguist's Dictionary (Greater)			12
		84-85	46-51		Spell Duelist's Siphon			12
		86-87	52-57		Codex of Unimpeded Sight (Greater)			12
			58-62	01-12	Communion Mat			14
			63-67	13-24	Tome of Restorative Cleansing (Greater)			14
			68-72	25-36	Endless Grimoire (Major)			14
			73-77	37-48	Illuminated Folio			14
			78-81	49-58	Grimoire of Unknown Necessities			16
				59-65	Maw of Hungry Shadows			18
				66-72	Endless Grimoire (True)			18
				73-76	Codex of Destruction and Renewal			20
98-100	95-100	87-100	82-100	77-100	Roll twice again			
