Minor	Lesser	Moderate	Greater	Major	Item			Level
01-05					Ring of Discretion			1
06-10					Aeon Stone (Consumed)			1
11-14					Ring of Torag			3
15-18					Ring of Observation (Lesser)			3
19-22					Aeon Stone (Dusty Rose Prism)			3
23-26					Aeon Stone (Pearly White Spindle)			3
27-30					Aeon Stone (Polished Pebble)			3
31-34					Doubling Rings			3
35-38					Ventriloquist's Ring			3
39-42	01-04				Aeon Stone (Azure Briolette)			4
43-46	05-08				Aeon Stone (Clear Quartz Octagon)			4
47-49	09-12				Aeon Stone (Agate Ellipsoid)			5
50-52	13-16				Aeon Stone (Preserving)			5
53-55	17-20				Ring of the Weary Traveler			5
56-58	21-24				Ring of the Tiger			5
59-61	25-28				Ring of Minor Arcana			5
62-64	29-32				True Name Amulet (Lesser)			5
65-67	33-36				Grim Ring			5
68-70	37-40				Stalwart's Ring			5
71-73	41-44				Warrior's Training Ring			5
74-75	45-47				Spiritsight Ring			6
76-77	48-50				Ring of the Ram			6
78-79	51-53				Aeon Stone (Sprouting)			6
80-81	54-56				Aeon Stone (Western Star)			6
82-83	57-58	01-04			Aeon Stone (Delaying)			7
84-85	59-60	05-08			Aeon Stone (Nourishing)			7
86-87	61-62	09-12			Aeon Stone (Smoothing)			7
88-89	63-64	13-16			Ring of Wizardry (Type I)			7
90-91	65-66	17-20			Ring of Sustenance			7
92-93	67-68	21-24			Ring of Observation (Moderate)			7
94-95	69-70	25-28			Ethersight Ring			7
96-97	71-72	29-32			Winder's Ring			7
	73-74	33-35			Aeon Stone (Envisioning)			8
	75-76	36-38			Moonstone Diadem			8
	77-78	39-41			Sigil of the First Clan			8
	79-80	42-44			Aeon Stone (Cymophane Cabochon)			9
	81-82	45-47			Phylactery of Faithfulness			9
	83-84	48-50			Messenger's Ring			9
	85-86	51-53			Ventriloquist's Ring (Greater)			9
	87-87	54-55	01-04		Fire-Jump Ring			10
	88-88	56-57	05-08		Ring of Wizardry (Type II)			10
	89-89	58-59	09-12		Ring of the Tiger (Greater)			10
	90-90	60-61	13-16		Ring of Observation (Greater)			10
	91-91	62-63	17-20		Ring of Lies			10
	92-92	64-65	21-24		Ring of Counterspells			10
	93-93	66-67	25-28		True Name Amulet (Moderate)			10
	94-94	68-69	29-32		Aeon Stone (Pearlescent Pyramid)			10
		70-71	33-36		Ring of Maniacal Devices			11
		72-73	37-40		Doubling Rings (Greater)			11
		74-75	41-44		Master Magus Ring			11
		76-76	45-47		Ring of Wizardry (Type III)			12
		77-77	48-50		Ring of Swimming			12
		78-78	51-53		Ring of Stoneshifting			12
		79-79	54-56		Ring of Climbing			12
		80-80	57-59		Aeon Stone (Black Pearl)			12
		81-81	60-62		Aeon Stone (Pink Rhomboid)			12
		82-82	63-64	01-05	Aeon Stone (Pale Lavender Ellipsoid)			13
		83-83	65-66	06-10	Aeon Stone (Rainbow Prism)			13
		84-84	67-68	11-15	Blightburn Ward			13
		85-85	69-70	16-20	Ring of the Ram (Greater)			13
		86-86	71-72	21-25	Guardian Aluum Charm			13
			73-74	26-29	Ring of Wizardry (Type IV)			14
			75-76	30-33	Aeon Stone (Olivine Pendeloque)			14
			77-77	34-37	Aeon Stone (Mottled Ellipsoid)			15
			78-78	38-41	True Name Amulet (Greater)			15
			79-79	42-45	Aeon Stone (Amber Sphere)			16
			80-80	46-49	Aeon Stone (Amplifying)			16
			81-81	50-53	Aeon Stone (Peering)			16
				54-55	Messenger's Ring (Greater)			17
				56-57	Amulet of the Third Eye			17
				58-59	Aeon Stone (Black Disc)			17
				60-61	Crown of Intellect			17
				62-63	Headwrap of Wisdom			17
				64-65	Phylactery of Faithfulness (Greater)			17
				66-67	Ring of Maniacal Devices (Greater)			18
				68-69	Locket of Sealed Nightmares			19
				70-71	Aeon Stone (Lavender and Green Ellipsoid)			19
				72-73	Aeon Stone (Pale Orange Rhomboid)			19
				74-74	Ring of Spell Turning			20
				75-75	Ring of Recalcitrant Wishes			20
				76-76	True Name Amulet (Major)			20
98-100	95-100	87-100	82-100	77-100	Roll twice again			
