Minor	Lesser	Moderate	Greater	Major 	Item			Level
01-05					Gecko Potion			1
06-10					Potion of Emergency Escape			1
11-15					Ration Tonic			1
16-20					Healing Potion (Minor)			1
21-25					Potion of Retaliation (Minor)			1
26-30					Potion of Shared Memories			1
31-34					Antivenom Potion			2
35-37					Potion of Water Breathing			3
38-40					Draft of Stellar Radiance			3
41-43					Healing Potion (Lesser)			3
44-46					Potion of Retaliation (Lesser)			3
47-49	01-03				Oak Potion			4
50-52	04-06				Shrinking Potion			4
53-55	07-09				Sure-Step Potion			4
56-58	10-12				Bloodhammer Reserve			4
59-61	13-15				Bottled Omen			4
62-64	16-18				Invisibility Potion			4
65-66	19-21				Fu Water			5
67-68	22-24				Potion of Leaping			5
69-70	25-27				Green Wyrmling Breath Potion			5
71-72	28-30				Potion of Disguise (Lesser)			5
73-74	31-33				Wine of the Blood			5
75-76	34-36				Potion of Resistance (Lesser)			5
77-78	37-38				Tentacle Potion (Lesser)			6
79-80	39-40				Bloodhammer Reserve (Select)			6
81-82	41-42				Eidetic Potion			6
83-84	43-44				Truth Potion			6
85-86	45-46				Healing Potion (Moderate)			6
87-88	47-48				Octopus Potion (Lesser)			6
89-90	49-50				Potion of Retaliation (Moderate)			6
91-91	51-52				Potion of Swimming			6
92-92	53-54	01-03			Hovering Potion			7
93-93	55-56	04-06			Ration Tonic (Greater)			7
94-94	57-58	07-09			Serum of Sex Shift			7
95-95	59-60	10-12			Empath's Cordial			7
96-96	61-62	13-15			Energy Breath Potion (Lesser)			7
97-97	63-64	16-18			Faerie Dragon Liqueur (Young)			7
	65-66	19-20			Cayden's Brew			8
	67-68	21-22			Quenching Potion			8
	69-70	23-24			Potion of Quickness			8
	71-72	25-26			Roaring Potion (Lesser)			8
	73-74	27-28			Shrinking Potion (Greater)			8
	75-76	29-30			Potion of Shared Life			8
	77-78	31-32			Bloodhammer Reserve (Black Label)			8
	79-80	33-34			Potion of Disguise (Moderate)			8
	81-81	35-36			Potion of Flying			8
	82-82	37-38			Potion of Minute Echoes			9
	83-83	39-40			Octopus Potion (Moderate)			9
	84-84	41-42			Rebirth Potion			9
	85-85	43-44	01-03		Tentacle Potion (Moderate)			10
	86-86	45-46	04-06		Effervescent Decoction			10
	87-87	47-48	07-09		Immovable Potion			10
	88-88	49-50	10-12		Vengeful Demon's Tears			10
	89-89	51-52	13-15		Mutagenic Renovator			10
	90-90	53-54	16-18		Potion of Resistance (Moderate)			10
	91-91	55-56	19-21		Potion of Stable Form			10
	92-92	57-58	22-24		Sairazul Blue			10
	93-93	59-60	25-27		Potion of Grounding			10
	94-94	61-62	28-30		Potion of Annulment (Lesser)			10
		63-64	31-33		Ascendant Dragon Spirit			11
		65-66	34-36		Enigma-Sight Potion			11
		67-68	37-39		Potion of Swimming (Greater)			11
		69-70	40-42		Potion of Disguise (Greater)			11
		71-72	43-44		Dragonfly Potion			12
		73-74	45-46		Potion of Truespeech			12
		75-75	47-48		Phoenix Flask			12
		76-76	49-50		Elysian Dew			12
		77-77	51-52		Energy Breath Potion (Moderate)			12
		78-78	53-54		Faerie Dragon Liqueur (Adult)			12
		79-79	55-56		Healing Potion (Greater)			12
		80-80	57-58		Potion of Retaliation (Greater)			12
		81-81	59-60	01-05	Panacea			13
		82-82	61-62	06-10	Cayden's Brew (Double)			13
		83-83	63-64	11-15	Octopus Potion (Greater)			13
		84-84	65-66	16-20	Roaring Potion (Moderate)			13
		85-85	67-68	21-25	Rovagug's Mud			13
		86-86	69-70	26-30	Time Shield Potion			13
			71-72	31-34	Tentacle Potion (Greater)			14
			73-74	35-38	Potion of Resistance (Greater)			14
			75-76	39-42	Mind-Swap Potion			15
			77-78	43-46	Potion of Flying (Greater)			15
			79-79	47-50	Potion of Annulment (Moderate)			15
			80-80	51-53	Truesight Potion			16
			81-81	54-56	Potion of Stable Form (Greater)			16
				57-58	Energy Breath Potion (Greater)			17
				59-60	Faerie Dragon Liqueur (Wyrm)			17
				61-62	Cayden's Brew (Triple)			18
				63-64	Roaring Potion (Greater)			18
				65-66	Potion of Undetectability			18
				67-68	Rovagug's Mud (Greater)			18
				69-70	Cloning Potion			18
				71-72	Healing Potion (Major)			18
				73-74	Potion of Retaliation (Major)			18
				75-76	Potion of Annulment (Greater)			20
98-100	95-100	87-100	82-100	77-100	Roll twice again			
